primerid	coef	ci.hi	ci.lo	P	celltype	FDR
NAA25	-0.000931694	0.002978358	-0.004841747	0.341233499	OPC	0.453995749
NAA30	0.002071742	0.002645565	0.001497919	0.003108694	OPC	0.013881195
NAA35	-0.001072798	0.002988797	-0.005134392	0.57328365	OPC	0.662981743
NAA38	-0.000360158	0.002268739	-0.002989055	0.11397824	OPC	0.205143078
NAA50	-0.00255151	0.001346899	-0.006449919	0.318644083	OPC	0.433059292
NAA60	0.001132301	0.002000836	0.000263766	0.05960139	OPC	0.129656867
NAALAD2	0.004051262	0.008303813	-0.000201289	0.107765509	OPC	0.196822517
NAALADL2	0.011456385	0.018593042	0.004319727	0.002249566	OPC	0.010726439
NAB1	-0.000565452	0.002500453	-0.003631356	0.006241012	OPC	0.023852775
NACA	0.001375458	0.002878346	-0.00012743	0.028577384	OPC	0.074849644
NACC2	-0.000503093	0.003761619	-0.004767804	0.958695309	OPC	0.969555492
NADK2	-0.00023166	0.00281104	-0.003274359	0.552750521	OPC	0.644937624
NAE1	0.001319896	0.003429191	-0.000789399	0.174225956	OPC	0.279696704
NAF1	-0.003142081	0.000950468	-0.007234629	0.011132356	OPC	0.037285324
NAGK	0.001756677	0.003054966	0.000458389	0.080636033	OPC	0.15986549
NAIP	0.003709451	0.006393591	0.001025312	0.075394589	OPC	0.152660831
NALCN	-0.013670654	-0.008143834	-0.019197474	7.50851E-05	OPC	0.000645062
NAMPT	-0.003562375	0.000397557	-0.007522308	0.01214403	OPC	0.039940494
NAP1L1	-0.002473142	0.002876273	-0.007822557	0.050190406	OPC	0.114200882
NAP1L3	-0.000160138	0.002178494	-0.00249877	0.887625879	OPC	0.915402907
NAP1L4	0.002296773	0.006550413	-0.001956868	0.596761644	OPC	0.683068925
NAPA	-0.000218418	0.002332738	-0.002769573	0.622261706	OPC	0.704579521
NAPB	-0.002989641	0.001341914	-0.007321195	0.211037883	OPC	0.321424789
NAPEPLD	0.001396811	0.005884922	-0.0030913	0.488282533	OPC	0.588536649
NAPG	-0.001462571	0.001912277	-0.00483742	0.038609497	OPC	0.093627017
NARF	0.002876057	0.003542435	0.002209679	0.000180969	OPC	0.001372713
NARS2	-0.002717574	0.001483371	-0.006918519	0.10804349	OPC	0.197174393
NASP	0.00039352	0.004434538	-0.003647498	0.950434635	OPC	0.962934872
NAT10	-0.00099378	0.001879233	-0.003866794	0.511073267	OPC	0.608182451
NAT14	0.00090755	0.00261588	-0.00080078	0.164923052	OPC	0.269038005
NAT8L	-0.002117946	0.00201343	-0.006249323	0.357140448	OPC	0.46975047
NAT9	0.001478698	0.002377489	0.000579906	0.082442779	OPC	0.162287276
NAV1	-0.003732819	0.001878501	-0.009344138	0.327204719	OPC	0.441313271
NAV2	-0.025928021	-0.021489346	-0.030366697	1.72712E-27	OPC	2.4437E-25
NAV3	0.014312443	0.020346292	0.008278593	4.30255E-09	OPC	1.02507E-07
NAXE	0.000648128	0.00220807	-0.000911815	0.50057135	OPC	0.598768318
NBAS	-0.000669596	0.006077449	-0.00741664	0.105896776	OPC	0.194258384
NBDY	0.000400967	0.004191616	-0.003389681	0.205183606	OPC	0.314720783
NBEA	-0.002437851	0.004017926	-0.008893628	0.159766886	OPC	0.262728609
NBEAL1	-0.001560505	0.00356764	-0.006688651	0.428060575	OPC	0.533958972
NBN	-0.001478604	0.001953841	-0.00491105	0.020180435	OPC	0.057934144
NBPF1	0.002946087	0.005006895	0.00088528	0.041672763	OPC	0.099281573
NBPF11	-0.004420536	0.000378948	-0.00922002	0.002363524	OPC	0.011183629
NBPF12	-0.009758719	-0.003339571	-0.016177866	1.44752E-05	OPC	0.000157794
NBPF14	0.000449827	0.003138099	-0.002238445	0.935186091	OPC	0.951099482
NBPF15	0.001160616	0.002741972	-0.000420741	0.480746602	OPC	0.58249147
NBPF19	-0.007616772	-0.001920077	-0.013313467	0.000745686	OPC	0.004460341
NBPF3	0.001210021	0.002605041	-0.000184998	0.295879235	OPC	0.410184111
NBPF9	-0.001443391	0.001746561	-0.004633344	0.482514044	OPC	0.583613026
NBR1	0.001620286	0.003513938	-0.000273366	0.22422173	OPC	0.335369564
NCALD	0.009562612	0.016260441	0.002864783	0.003414634	OPC	0.014898463
NCAM1	0.004636039	0.009831053	-0.000558975	0.051042742	OPC	0.11573943
NCAM2	0.022691315	0.027956279	0.017426352	1.97147E-27	OPC	2.73365E-25
NCAN	0.002504676	0.003744381	0.001264971	0.032697221	OPC	0.082824199
NCBP1	-0.000856886	0.00194836	-0.003662133	0.02195772	OPC	0.061663353
NCBP3	-0.002646072	0.001172309	-0.006464453	0.003138524	OPC	0.013993176
NCDN	0.000929631	0.003354183	-0.001494921	0.116387837	OPC	0.208498681
NCEH1	-0.001937474	0.001477715	-0.005352664	0.402743776	OPC	0.511295462
NCK1	-0.003543535	0.000691089	-0.007778159	0.094081713	OPC	0.17924389
NCK2	-0.000943311	0.001939441	-0.003826063	0.192759768	OPC	0.30045042
NCKAP1	0.002802785	0.008538019	-0.002932449	0.315910527	OPC	0.430562002
NCKAP5	0.015412141	0.022728655	0.008095628	2.03302E-06	OPC	2.74755E-05
NCKAP5L	-0.001777572	0.001555233	-0.005110376	0.000653198	OPC	0.004021865
NCL	-0.001858999	0.001152056	-0.004870053	0.328518082	OPC	0.442341399
NCLN	0.000571485	0.002590597	-0.001447627	0.870564444	OPC	0.901377433
NCOA1	0.002075673	0.00941755	-0.005266204	0.008917021	OPC	0.031191882
NCOA2	0.006893623	0.013640854	0.000146393	0.139796063	OPC	0.237782164
NCOA3	-9.97634E-05	0.003340219	-0.003539746	0.212954616	OPC	0.323205782
NCOA4	-0.001210766	0.001580935	-0.004002467	0.011422184	OPC	0.038145473
NCOA5	-0.001684917	0.001685017	-0.005054851	0.274934348	OPC	0.389475342
NCOA6	-0.007167164	-0.001353277	-0.012981051	0.001779281	OPC	0.008864444
NCOA7	-7.02199E-05	0.002972248	-0.003112688	0.446011548	OPC	0.550997516
NCOR1	-0.008356655	-0.001762759	-0.014950552	0.016354739	OPC	0.049624717
NCOR2	-0.015549312	-0.008477025	-0.022621598	1.03396E-06	OPC	1.50914E-05
NCS1	-0.000970557	0.001838498	-0.003779612	0.674005089	OPC	0.74730166
NCSTN	0.001874086	0.002854203	0.000893969	0.003735282	OPC	0.016085612
NDEL1	-0.00525052	-0.000433334	-0.010067706	0.010434545	OPC	0.035358112
NDFIP1	-0.002032831	0.003577957	-0.007643618	0.008263649	OPC	0.029471131
NDFIP2	-0.002871892	0.001220889	-0.006964672	0.265663565	OPC	0.380075422
NDRG1	0.003432097	0.004635387	0.002228808	0.002716543	OPC	0.01247271
NDRG2	0.01106767	0.012023616	0.010111724	1.34445E-16	OPC	7.96676E-15
NDRG3	0.002197677	0.004827312	-0.000431959	0.362003745	OPC	0.47398904
NDRG4	-0.001416691	0.002397212	-0.005230594	0.024624996	OPC	0.067056205
NDST1	-0.003707759	0.000489852	-0.007905371	0.020481252	OPC	0.058555266
NDUFA1	-0.003574906	8.81681E-05	-0.007237979	1.24018E-08	OPC	2.79162E-07
NDUFA10	0.002673207	0.005950703	-0.000604289	0.144888312	OPC	0.244347037
NDUFA12	-0.00154801	0.000916184	-0.004012205	0.042481311	OPC	0.100657188
NDUFA13	-0.065885368	-0.002193323	-0.129577413	4.20418E-16	OPC	2.29509E-14
NDUFA3	0.000684546	0.001821773	-0.000452681	0.19899845	OPC	0.307452957
NDUFA4	-0.004787974	-0.000432961	-0.009142987	0.001386371	OPC	0.007289774
NDUFA5	0.00054755	0.002469571	-0.001374471	0.009317603	OPC	0.032299471
NDUFA8	-0.001821913	0.000821598	-0.004465425	0.06288814	OPC	0.134950325
NDUFAF2	-0.015090362	-0.00762428	-0.022556444	1.18752E-07	OPC	2.1609E-06
NDUFAF5	-0.004196919	0.00026858	-0.008662419	0.010273121	OPC	0.034930626
NDUFAF6	0.002392172	0.005330446	-0.000546102	0.26520348	OPC	0.379835572
NDUFAF7	-0.002488485	0.001059202	-0.006036173	0.000986766	OPC	0.005566516
NDUFB1	0.001510761	0.002319633	0.000701888	0.064521	OPC	0.137307883
NDUFB10	1.54556E-05	0.001980173	-0.001949261	8.38307E-05	OPC	0.000711381
NDUFB11	0.001127385	0.00238472	-0.000129949	0.001102844	OPC	0.006069427
NDUFB2	-0.000165693	0.001513143	-0.001844529	0.001229441	OPC	0.006643583
NDUFB4	-0.001969796	0.000960457	-0.004900049	0.000643377	OPC	0.003978623
NDUFB5	-0.003030808	0.000339816	-0.006401433	0.018947216	OPC	0.055315493
NDUFB6	-0.000773515	0.001666703	-0.003213733	0.377119282	OPC	0.487873818
NDUFB7	-0.001470927	0.001460843	-0.004402697	0.164583067	OPC	0.268673041
NDUFB9	-0.000460739	0.001706216	-0.002627694	0.037520099	OPC	0.091626223
NDUFC1	0.001240515	0.001873226	0.000607804	0.01431059	OPC	0.044893809
NDUFS1	-0.000471208	0.00371526	-0.004657676	0.071614187	OPC	0.147724237
NDUFS2	3.91266E-05	0.002992987	-0.002914734	0.610758485	OPC	0.695301901
NDUFS3	0.000453222	0.002020478	-0.001114034	0.137158734	OPC	0.234911438
NDUFS4	-0.002849109	0.001719852	-0.00741807	0.405312831	OPC	0.513623443
NDUFS5	0.000144025	0.002491629	-0.002203579	8.34346E-07	OPC	1.25478E-05
NDUFS6	-0.000576598	0.001528766	-0.002681963	0.581897238	OPC	0.670037129
NDUFS7	0.002433552	0.004107777	0.000759327	0.000537887	OPC	0.003421261
NDUFS8	5.28271E-05	0.002234436	-0.002128781	0.108340109	OPC	0.197611675
NDUFV1	0.000784455	0.003762141	-0.00219323	0.770044231	OPC	0.822733341
NDUFV2	-0.002572546	0.001311693	-0.006456785	0.01633582	OPC	0.049608514
NDUFV3	-0.0009497	0.002132385	-0.004031785	0.42015787	OPC	0.527040802
NEBL	-0.004422055	0.002058545	-0.010902656	0.224407224	OPC	0.335390311
NECAB1	-0.002531539	0.000968716	-0.006031794	0.009256625	OPC	0.032152395
NECAP1	-0.001355323	0.001196102	-0.003906747	0.006136144	OPC	0.023608151
NECTIN1	-0.001780826	0.001585983	-0.005147635	0.462412041	OPC	0.566313846
NECTIN3	0.008190048	0.013265468	0.003114627	0.007883361	OPC	0.028362759
NEDD4	0.001852941	0.005487879	-0.001781998	0.188297575	OPC	0.29522096
NEDD9	0.000376103	0.002502368	-0.001750162	0.730803015	OPC	0.791788921
NEGR1	0.012142724	0.018371153	0.005914295	7.86331E-09	OPC	1.82941E-07
NEK1	-0.005117134	0.001153427	-0.011387695	0.019798337	OPC	0.057287926
NEK10	-0.000336325	0.002087601	-0.002760252	0.296656336	OPC	0.410686577
NEK11	0.00154251	0.003916057	-0.000831036	0.537211646	OPC	0.631697479
NEK4	-0.000320843	0.002107972	-0.002749658	0.956438538	OPC	0.967603733
NEK6	-0.000724229	0.001696295	-0.003144752	0.805855415	OPC	0.852846221
NEK7	0.003967797	0.009230947	-0.001295354	0.36924396	OPC	0.480774238
NEK9	0.001892253	0.004218595	-0.000434089	0.389926599	OPC	0.49955172
NELFA	0.000168279	0.003096216	-0.002759657	0.000102339	OPC	0.000841655
NELFB	0.001180912	0.002837136	-0.000475311	0.253885928	OPC	0.367242049
NELFCD	2.52925E-05	0.002298389	-0.002247804	0.905685409	OPC	0.928451419
NELL1	0.020667758	0.023951227	0.017384289	8.57526E-15	OPC	4.24659E-13
NELL2	-0.003450149	0.002044344	-0.008944641	0.095477686	OPC	0.180909209
NEMF	-0.002567346	0.002221658	-0.00735635	0.106350841	OPC	0.19480327
NENF	-0.001263392	0.001753413	-0.004280196	0.001185962	OPC	0.006458976
NEO1	-0.010502696	-0.003660224	-0.017345167	0.000792305	OPC	0.004690906
NEPRO	-0.000148606	0.002073695	-0.002370906	0.238848662	OPC	0.351355353
NETO1	-0.000963465	0.00441464	-0.00634157	0.228621916	OPC	0.340209432
NETO2	-0.009307624	-0.002983309	-0.015631938	0.000726437	OPC	0.004368073
NEU4	-0.001888164	0.002939702	-0.00671603	0.384132562	OPC	0.494465476
NEXMIF	-0.01602024	-0.008299265	-0.023741214	3.94961E-07	OPC	6.44297E-06
NF1	-0.001922704	0.004504887	-0.008350296	0.526422876	OPC	0.622176918
NF2	-0.002481789	0.001179962	-0.00614354	0.086657216	OPC	0.168620398
NFASC	-0.005247766	0.000972058	-0.011467589	0.140676926	OPC	0.238930213
NFAT5	-0.00107283	0.005104121	-0.007249782	0.936286903	OPC	0.951800161
NFATC2IP	-0.002131533	0.001442446	-0.005705512	0.200540186	OPC	0.309102959
NFATC3	-0.002012149	0.00242219	-0.006446487	0.258529947	OPC	0.372250907
NFE2L1	-0.000399731	0.001712031	-0.002511492	0.820922921	OPC	0.86378185
NFE2L2	0.000529039	0.006274156	-0.005216078	0.962813139	OPC	0.972916993
NFIA	0.032615039	0.041913987	0.023316091	2.45542E-23	OPC	2.50344E-21
NFIB	0.021665538	0.029706527	0.01362455	7.58525E-10	OPC	2.01489E-08
NFIC	-0.000312527	0.003001502	-0.003626556	0.711101567	OPC	0.777245335
NFIX	-0.005114711	0.000397455	-0.010626877	0.020022996	OPC	0.057717034
NFKB1	-0.000883021	0.003309395	-0.005075438	0.911688768	OPC	0.933088017
NFKBIA	-0.010703215	-0.003804452	-0.017601977	1.27396E-06	OPC	1.79519E-05
NFKBIZ	0.000781754	0.002158679	-0.00059517	0.648813318	OPC	0.727279343
NFU1	0.000135215	0.002203151	-0.001932721	0.758502118	OPC	0.813938834
NFX1	-0.003433048	0.001059803	-0.007925898	0.186266109	OPC	0.293162981
NFXL1	-0.002193544	0.001578787	-0.005965875	0.013236537	OPC	0.042426682
NFYC	0.002698389	0.004611992	0.000784786	0.056530787	OPC	0.124421571
NGLY1	0.000741039	0.003844262	-0.002362183	0.35788438	OPC	0.470282867
NHLRC2	0.001818745	0.004935644	-0.001298155	0.15610041	OPC	0.258230528
NHLRC3	0.001949787	0.003621678	0.000277896	0.004922962	OPC	0.020029866
NHP2	0.001044886	0.001848583	0.00024119	0.005437572	OPC	0.021554423
NHSL1	0.001527412	0.005039673	-0.00198485	0.450859766	OPC	0.555897343
NIM1K	-0.004812816	0.00022892	-0.009854552	0.019381096	OPC	0.056315648
NIN	-0.009306471	-0.002636611	-0.015976331	0.003411284	OPC	0.014893217
NINL	0.000422003	0.003748173	-0.002904167	0.969677108	OPC	0.977573271
NIPA1	0.00023983	0.002631119	-0.002151458	0.016290617	OPC	0.049531049
NIPAL3	-0.00436583	0.000382251	-0.009113911	0.033610162	OPC	0.084274595
NIPBL	0.007006437	0.013382788	0.000630086	0.023414357	OPC	0.064648244
NIPSNAP2	-0.003045323	0.00161417	-0.007704817	0.337825927	OPC	0.451183865
NISCH	0.001523758	0.004474515	-0.001426998	0.012531368	OPC	0.040923211
NKAIN2	-0.008029861	-0.001515049	-0.014544673	0.002954982	OPC	0.013354268
NKAIN3	0.010933715	0.018256891	0.003610539	0.012275927	OPC	0.040221645
NKAIN4	0.002958572	0.006500911	-0.000583767	0.01683605	OPC	0.050726673
NKD1	-0.001779467	0.002138184	-0.005697119	0.612842838	OPC	0.69698809
NKIRAS1	0.000251817	0.001771056	-0.001267421	0.749649297	OPC	0.80747865
NKTR	-0.018505046	-0.011962085	-0.025048008	3.04591E-08	OPC	6.30367E-07
NKX2-2	0.001741132	0.003687159	-0.000204895	0.292624974	OPC	0.407583751
NLGN1	0.018659301	0.021706629	0.015611973	6.59566E-37	OPC	1.47509E-34
NLGN2	0.006354593	0.007306065	0.005403122	2.35814E-08	OPC	5.09315E-07
NLGN3	0.001043071	0.006236179	-0.004150038	0.499668735	OPC	0.59789495
NLGN4X	0.004496163	0.011671237	-0.002678911	0.115034274	OPC	0.20666821
NLGN4Y	-0.000188712	0.000121661	-0.000499085	0.027059237	OPC	0.071603699
NLK	0.007260896	0.010775512	0.00374628	0.004261074	OPC	0.01775362
NLN	-0.005010596	-0.000260703	-0.00976049	0.023879614	OPC	0.06561925
NLRP1	0.000954051	0.002309428	-0.000401326	0.038400928	OPC	0.093349802
NMD3	-0.005607574	-0.000261386	-0.010953761	0.04929841	OPC	0.112726213
NME3	0.004385844	0.007681022	0.001090665	0.000201829	OPC	0.001507849
NME4	0.000143164	0.001884265	-0.001597936	0.966579009	OPC	0.975629246
NME7	-0.000694641	0.003467717	-0.004857	0.844940671	OPC	0.881826535
NME9	-0.005193973	0.000564061	-0.010952006	0.110579715	OPC	0.200431154
NMNAT2	-0.003580928	0.001982488	-0.009144343	0.401030239	OPC	0.50987395
NMNAT3	0.000183125	0.003820741	-0.003454492	0.43333022	OPC	0.539118811
NMRAL1	-0.001760118	0.001475649	-0.004995886	0.040281998	OPC	0.096802459
NMT1	0.000104126	0.003583541	-0.003375289	0.574128432	OPC	0.663847968
NMT2	-0.001987347	0.00145534	-0.005430033	0.246402893	OPC	0.360325745
NNT	-0.001555593	0.002944706	-0.006055892	0.219948222	OPC	0.330637689
NOC2L	-0.001351704	0.001567241	-0.004270649	0.107082468	OPC	0.19588463
NOC3L	-0.002593222	0.000883033	-0.006069477	3.91802E-05	OPC	0.000370582
NOL10	-0.001773286	0.002296738	-0.005843309	0.021073139	OPC	0.059843928
NOL11	0.000501319	0.001945625	-0.000942987	0.676978324	OPC	0.749639151
NOL4	0.0029356	0.010017241	-0.00414604	0.604634057	OPC	0.690029287
NOL4L	-0.004565552	0.000131172	-0.009262276	0.020434885	OPC	0.058506772
NOL7	-0.001101378	0.001480472	-0.003683228	0.002623792	OPC	0.012151469
NOL9	-0.002341133	0.001111924	-0.005794189	0.008651115	OPC	0.030538789
NOMO1	-0.003038312	0.000716013	-0.006792637	0.129512907	OPC	0.225040847
NONO	0.001235264	0.003096298	-0.000625771	0.289198455	OPC	0.404154986
NOP56	0.00222423	0.002874186	0.001574274	0.000906432	OPC	0.005221567
NOP58	-0.001116135	0.00222038	-0.00445265	0.048031201	OPC	0.110668101
NOS1	0.003787657	0.00762679	-5.14758E-05	0.216288483	OPC	0.326836978
NOS1AP	0.002546592	0.006529606	-0.001436422	0.468636915	OPC	0.571615012
NOTCH1	0.002363081	0.004243591	0.000482571	0.067729608	OPC	0.141821012
NOTCH2	0.004213712	0.008063732	0.000363692	0.137868468	OPC	0.235893902
NOVA1	0.020860793	0.024995826	0.016725759	5.27179E-27	OPC	7.16653E-25
NOVA2	0.001877859	0.003504269	0.000251448	0.107169246	OPC	0.195960506
NPAS2	-0.012767017	-0.005586214	-0.01994782	4.3551E-06	OPC	5.45016E-05
NPAS3	0.023305673	0.028953718	0.017657627	5.60127E-33	OPC	1.10953E-30
NPAT	-0.000707008	0.002148314	-0.00356233	0.873677266	OPC	0.904041169
NPC1	-0.007038457	-0.001326196	-0.012750718	0.001775452	OPC	0.008864444
NPDC1	-0.041698298	-0.004649038	-0.078747559	4.87186E-12	OPC	1.81595E-10
NPEPL1	-0.001008862	0.001877132	-0.003894856	0.002668257	OPC	0.012287985
NPEPPS	0.008115489	0.011364442	0.004866536	0.000299831	OPC	0.002097605
NPHP1	0.000354614	0.002047449	-0.001338221	0.844544566	OPC	0.881603904
NPHP4	-0.000515399	0.001659391	-0.002690189	0.71781872	OPC	0.781842703
NPIPA1	0.006341077	0.007389343	0.005292812	1.76866E-07	OPC	3.11221E-06
NPIPB11	-0.021249101	-0.010009568	-0.032488635	2.35498E-10	OPC	6.74673E-09
NPIPB13	-0.016716993	-0.007545233	-0.025888753	2.73543E-08	OPC	5.76435E-07
NPIPB4	-0.010112049	-0.003225393	-0.016998705	4.63811E-05	OPC	0.000425907
NPIPB5	-0.014708174	-0.007257716	-0.022158633	2.28151E-06	OPC	3.0714E-05
NPL	0.002819451	0.005630552	8.34968E-06	0.014886379	OPC	0.046239813
NPLOC4	-0.000829736	0.002159256	-0.003818727	0.796050479	OPC	0.844920081
NPM1	-0.002525823	0.000856722	-0.005908367	0.070110736	OPC	0.145401654
NPRL3	0.002492088	0.00447269	0.000511486	0.115531499	OPC	0.207346591
NPTN	0.001125728	0.005168835	-0.00291738	0.014836105	OPC	0.046127169
NPTXR	-0.002492465	0.001716703	-0.006701633	0.104468536	OPC	0.192576538
NQO2	-0.005234682	-0.00015277	-0.010316594	0.004019769	OPC	0.017014652
NR1D2	0.000805119	0.003753943	-0.002143706	0.863232673	OPC	0.894989102
NR2C1	-0.00348431	0.000737971	-0.007706591	0.088829556	OPC	0.17177353
NR2C2	0.001930005	0.005059294	-0.001199284	0.028956802	OPC	0.075484369
NR2F1	0.002430107	0.003479436	0.001380778	0.001419778	OPC	0.007417726
NR3C1	0.005414365	0.01060686	0.000221871	0.124644301	OPC	0.218892089
NR3C2	0.004076544	0.010264563	-0.002111474	0.025351077	OPC	0.068468646
NR6A1	-0.010672525	-0.003917675	-0.017427375	0.000223558	OPC	0.001645357
NRBP1	0.000913763	0.002975273	-0.001147747	0.383778474	OPC	0.494101422
NRBP2	0.000660832	0.002461269	-0.001139605	0.807478151	OPC	0.853521272
NRCAM	-0.004746849	-0.001452539	-0.00804116	0.016169121	OPC	0.049253302
NRDC	-0.00145501	0.003639379	-0.0065494	8.46834E-08	OPC	1.61294E-06
NRDE2	-0.003256153	0.000836304	-0.00734861	0.076909118	OPC	0.154958126
NREP	0.002243858	0.003798732	0.000688984	0.118025002	OPC	0.210568023
NRF1	0.00464375	0.00932705	-3.95502E-05	0.021606875	OPC	0.061055529
NRG1	-0.00174454	0.001976358	-0.005465439	0.123331088	OPC	0.217347829
NRG2	-0.004916432	0.001121704	-0.010954568	0.186558587	OPC	0.293427035
NRG3	0.023364762	0.032908575	0.013820949	1.45918E-09	OPC	3.70568E-08
NRGN	0.004831795	0.005522781	0.004140809	1.11413E-08	OPC	2.53254E-07
NRIP1	0.000950087	0.004307523	-0.00240735	0.82576212	OPC	0.867688508
NRSN1	0.000911452	0.00271046	-0.000887556	0.635145755	OPC	0.715619706
NRSN2	-0.006917417	-0.001538558	-0.012296277	0.000149119	OPC	0.001165552
NRXN1	0.020766191	0.025435928	0.016096454	1.92463E-33	OPC	3.92455E-31
NRXN2	-0.002174943	0.003104377	-0.007454263	0.283116131	OPC	0.397637931
NRXN3	-0.026415262	-0.01856323	-0.034267293	3.08218E-11	OPC	9.9854E-10
NSA2	0.000747441	0.001974897	-0.000480015	0.502441004	OPC	0.600279766
NSD1	-0.003594388	0.002397476	-0.009586252	0.378567015	OPC	0.48917156
NSD2	-0.007581099	-0.001763358	-0.01339884	0.00556613	OPC	0.021910028
NSD3	-0.004179629	0.002382478	-0.010741736	0.035025832	OPC	0.086974961
NSF	0.005691122	0.010450806	0.000931437	0.01000043	OPC	0.03413736
NSFL1C	-0.001361133	0.001970802	-0.004693068	0.193630641	OPC	0.300860877
NSG2	-0.001549321	0.003180491	-0.006279132	0.437183827	OPC	0.54270286
NSL1	-0.001070014	0.003017727	-0.005157754	0.073298893	OPC	0.14986176
NSMAF	0.000363981	0.004565391	-0.003837429	0.548987639	OPC	0.641951644
NSMCE2	-0.00271612	0.00322549	-0.008657729	0.529111671	OPC	0.624822214
NSMF	0.002770731	0.004652664	0.000888799	0.062982673	OPC	0.134979558
NSRP1	-0.001833513	0.002701198	-0.006368223	0.40376577	OPC	0.512224718
NSUN2	0.002077216	0.003286766	0.000867666	0.022162657	OPC	0.062094556
NSUN3	-0.001238439	0.001875926	-0.004352805	0.667911175	OPC	0.742325774
NSUN5	0.002232066	0.002578271	0.001885862	1.03024E-21	OPC	9.0413E-20
NSUN6	-0.014300192	-0.007217742	-0.021382642	4.61079E-06	OPC	5.75975E-05
NSUN7	-0.003375373	0.000552312	-0.007303059	0.045220373	OPC	0.105488844
NT5C	0.002073209	0.002711172	0.001435246	9.43704E-06	OPC	0.000108144
NT5C2	-1.43003E-05	0.004434389	-0.00446299	0.280962633	OPC	0.395595843
NT5C3A	0.002127804	0.004486087	-0.000230478	0.306502729	OPC	0.421212055
NT5DC1	0.001272881	0.003727571	-0.001181809	0.0612659	OPC	0.132563096
NT5DC3	-0.005328946	-0.000253867	-0.010404024	0.00697527	OPC	0.025902276
NT5E	0.002320825	0.004027462	0.000614188	0.04141488	OPC	0.098771711
NTM	7.84667E-05	0.003331622	-0.003174689	0.809436295	OPC	0.85533026
NTN1	-0.00988285	-0.00337834	-0.016387361	0.004021944	OPC	0.017014652
NTN4	0.002293895	0.006238302	-0.001650511	0.47852975	OPC	0.580515617
NTNG1	0.001904894	0.008957976	-0.005148188	0.773856615	OPC	0.825698485
NTNG2	0.00102535	0.002798384	-0.000747683	0.590872076	OPC	0.678006638
NTPCR	-0.000551715	0.00212118	-0.003224609	0.187582937	OPC	0.294384499
NTRK2	0.007461123	0.01366951	0.001252735	0.006738457	OPC	0.025225552
NTRK3	0.00510089	0.011484929	-0.001283149	0.222929155	OPC	0.334211135
NUB1	0.000784368	0.002484868	-0.000916131	0.040063724	OPC	0.096478567
NUBP2	0.000476228	0.001891142	-0.000938686	0.269084454	OPC	0.383702699
NUBPL	-0.011786593	-0.005002439	-0.018570746	0.000206156	OPC	0.001531919
NUCB1	0.000875992	0.002568954	-0.000816971	0.016420908	OPC	0.049757936
NUCB2	-0.000923288	0.001706155	-0.003552731	0.247081877	OPC	0.360939455
NUCKS1	-0.00215095	0.00329424	-0.00759614	0.711537978	OPC	0.777599748
NUDC	0.001911389	0.002651881	0.001170897	0.010880801	OPC	0.036601939
NUDCD1	-0.000493709	0.00208346	-0.003070877	0.306507258	OPC	0.421212055
NUDCD3	0.001557997	0.004904469	-0.001788476	0.675399122	OPC	0.748248979
NUDT16L1	0.000330876	0.001768028	-0.001106277	0.867120692	OPC	0.898080036
NUDT21	-0.000334561	0.002409669	-0.003078792	0.081509904	OPC	0.160861988
NUDT3	0.002096341	0.00364087	0.000551812	0.021877241	OPC	0.061556377
NUDT4	-0.001380301	0.001473644	-0.004234247	0.348227393	OPC	0.461264905
NUDT5	-0.003304474	0.000631836	-0.007240784	0.088324954	OPC	0.171049415
NUDT9	0.001422966	0.001983032	0.0008629	0.016296022	OPC	0.049531049
NUFIP2	0.005288347	0.00765971	0.002916983	0.002831179	OPC	0.01290504
NUMA1	0.003775911	0.005549113	0.002002709	0.007033738	OPC	0.026035722
NUMB	0.003947593	0.006384293	0.001510893	0.042902399	OPC	0.101446907
NUMBL	0.001781441	0.002581229	0.000981653	0.01142198	OPC	0.038145473
NUP107	-0.002173541	0.001144798	-0.005491881	0.02648599	OPC	0.070625912
NUP133	0.001352385	0.003254051	-0.000549281	0.473295964	OPC	0.575846107
NUP153	0.001177734	0.004199174	-0.001843706	0.54594301	OPC	0.63968614
NUP155	-0.001991807	0.001119279	-0.005102892	0.248413784	OPC	0.362198268
NUP160	-0.006591451	-0.000836929	-0.012345974	0.000148301	OPC	0.001160462
NUP188	-0.001924939	0.001044596	-0.004894474	0.019624785	OPC	0.056880699
NUP205	0.003062036	0.004217557	0.001906515	0.005658064	OPC	0.022149834
NUP210	-0.000671308	0.002529274	-0.003871889	0.676675673	OPC	0.749423713
NUP214	-0.003627967	0.000989779	-0.008245713	0.179153484	OPC	0.284682811
NUP35	-0.000613543	0.001688393	-0.002915479	0.846555354	OPC	0.882316336
NUP42	NA	NA	NA	1.34313E-07	OPC	2.4271E-06
NUP50	-0.00103247	0.001587669	-0.003652608	0.019573174	OPC	0.056754837
NUP54	-0.008363994	-0.002467579	-0.014260409	3.82359E-05	OPC	0.00036264
NUP58	0.000370068	0.004112904	-0.003372769	0.25124593	OPC	0.364745163
NUP88	-0.003195666	0.000946524	-0.007337855	0.07919007	OPC	0.158220392
NUP93	-0.000865232	0.002067999	-0.003798463	0.005984785	OPC	0.023141393
NUP98	-0.002129794	0.001930135	-0.006189724	0.009204021	OPC	0.032001745
NUS1	-0.001146172	0.002116693	-0.004409036	0.259132116	OPC	0.37296304
