primerid	coef	ci.hi	ci.lo	P
EIF2AK3	-0.004925605	-0.001521583	0.001521583	2.24147E-05
EIF2AK4	0.003112454	0.00723647	-0.00723647	0.022645014
EIF2B3	-0.008669705	-0.004653805	0.004653805	2.8539E-07
EIF2B5	0.016244023	0.018921938	-0.018921938	1.42942E-32
EIF2S2	0.002268703	0.005179941	-0.005179941	5.218E-09
EIF2S3	0.008865231	0.01192538	-0.01192538	1.67119E-11
EIF3A	-0.011284432	-0.007269623	0.007269623	6.68937E-14
EIF3B	0.001391585	0.00505833	-0.00505833	8.81874E-08
EIF3E	0.014905337	0.018652942	-0.018652942	2.04305E-17
EIF3H	-0.004589423	-0.000472723	0.000472723	0.003666575
EIF3J	0.015748687	0.018790578	-0.018790578	1.52627E-26
EIF3K	0.008832017	0.012313104	-0.012313104	1.02193E-33
EIF3L	-0.026473501	-0.023069695	0.023069695	9.05516E-57
EIF3M	0.007958589	0.011158939	-0.011158939	1.29062E-09
EIF4A1	0.072503752	0.076153322	-0.076153322	0
EIF4A2	0.002305873	0.008986654	-0.008986654	0.195451159
EIF4B	0.022310097	0.025704476	-0.025704476	3.53225E-41
EIF4E	0.000340557	0.004672036	-0.004672036	7.5966E-06
EIF4E2	-0.005802331	-0.002698871	0.002698871	1.0416E-06
EIF4E3	-0.015677386	-0.010998277	0.010998277	1.83928E-14
EIF4EBP2	0.006812391	0.009604233	-0.009604233	2.21034E-10
EIF4ENIF1	-0.002907775	-5.77531E-05	5.77531E-05	2.45004E-06
EIF4G1	0.011622028	0.014414682	-0.014414682	1.10799E-15
EIF4G2	0.024451017	0.028508008	-0.028508008	8.57134E-32
EIF4G3	-0.082865391	-0.073510259	0.073510259	5.57186E-66
EIF4H	0.001939989	0.004931449	-0.004931449	0.413031454
EIF5	0.023745843	0.027559763	-0.027559763	2.10408E-36
EIF5A	0.044391744	0.048456585	-0.048456585	2.1441E-101
EIF5B	-0.025395411	-0.020736657	0.020736657	6.51684E-39
EIPR1	-0.029315491	-0.024774912	0.024774912	1.46786E-36
ELAVL1	-0.0066168	-0.002459727	0.002459727	6.4663E-10
ELAVL2	0.013891792	0.021122519	-0.021122519	0.000777501
ELAVL3	0.060060691	0.06714965	-0.06714965	2.3919E-75
ELAVL4	-0.021468612	-0.01393727	0.01393727	1.71128E-15
ELF2	-0.014481776	-0.008672257	0.008672257	7.07709E-09
ELFN2	-0.008211155	-0.004489801	0.004489801	6.3779E-12
ELK1	0.01967778	0.024605562	-0.024605562	8.11148E-36
ELK4	-0.001803019	0.00102411	-0.00102411	0.000210061
ELL2	-0.008989758	-0.002499009	0.002499009	2.17555E-13
ELMO1	-0.043774012	-0.035729313	0.035729313	3.67822E-33
ELMOD1	-0.033976388	-0.027703085	0.027703085	4.85699E-27
ELMOD3	-0.00536928	-0.002319266	0.002319266	1.77822E-10
ELOB	0.058342066	0.062186307	-0.062186307	1.9735E-208
ELOC	-0.00059992	0.001998118	-0.001998118	0.000309397
ELOVL4	-0.018069478	-0.014086125	0.014086125	2.54834E-20
ELOVL5	0.013437544	0.016974786	-0.016974786	2.15419E-14
ELOVL6	-0.013755476	-0.008447959	0.008447959	1.61321E-11
ELOVL7	-0.009325267	-0.006303331	0.006303331	6.69853E-13
ELP1	-0.008724947	-0.004875371	0.004875371	4.43085E-08
ELP2	0.001832136	0.006837046	-0.006837046	9.48307E-07
ELP3	0.002225107	0.005873419	-0.005873419	0.009164516
ELP4	-0.042634115	-0.036341985	0.036341985	5.48836E-43
EMB	0.002388473	0.005579637	-0.005579637	4.93863E-09
EMC2	0.00886868	0.012070649	-0.012070649	2.29905E-18
EME2	0.007208294	0.010406263	-0.010406263	5.99137E-13
EML1	-0.01177149	-0.007769414	0.007769414	6.42886E-09
EML2	-0.008153208	-0.003876506	0.003876506	1.95598E-08
EML4	-0.006507524	-0.002599938	0.002599938	3.23866E-06
EML5	-0.049277844	-0.043503997	0.043503997	2.03514E-62
EML6	-0.137398538	-0.128506558	0.128506558	3.5664E-205
EMSY	-0.023716234	-0.01868571	0.01868571	2.18188E-22
ENAH	-0.012785916	-0.006883597	0.006883597	3.52406E-05
ENC1	-0.044919296	-0.036906153	0.036906153	1.83563E-32
ENDOD1	-0.001180495	0.001644643	-0.001644643	0.159160428
ENO1	0.040858969	0.045291705	-0.045291705	4.86453E-71
ENO2	0.083426398	0.090957053	-0.090957053	2.6915E-108
ENOPH1	-0.003206609	-0.000380602	0.000380602	0.001145335
ENOX1	-0.205754981	-0.19602194	0.19602194	0
ENOX2	0.001817558	0.004759656	-0.004759656	0.001385427
ENPP4	0.005779002	0.008912326	-0.008912326	5.58041E-10
ENSA	-0.085121384	-0.077646213	0.077646213	4.003E-110
ENTPD3	-0.006613887	-0.003107151	0.003107151	0.000180403
ENTPD4	-0.005934876	-0.002350921	0.002350921	6.37854E-05
ENTPD6	0.028410906	0.03337632	-0.03337632	1.40538E-47
EP300	-0.011318144	-0.005256706	0.005256706	1.68911E-07
EP400	-0.022485661	-0.017483346	0.017483346	2.40941E-19
EPB41	-0.001481594	0.004247038	-0.004247038	1.07361E-12
EPB41L1	-0.019721906	-0.013368967	0.013368967	4.71522E-17
EPB41L2	-0.162041126	-0.153200176	0.153200176	4.6827E-300
EPB41L3	-0.115692201	-0.10674687	0.10674687	1.1972E-140
EPB41L4B	-0.04048895	-0.034251524	0.034251524	3.69433E-39
EPB41L5	-0.026190851	-0.021079708	0.021079708	3.68849E-24
EPC1	0.002008091	0.008334771	-0.008334771	0.001660023
EPC2	-0.063645591	-0.05760315	0.05760315	7.72169E-97
EPDR1	0.004358418	0.007556966	-0.007556966	0.022154568
EPG5	-0.007634511	-0.00321684	0.00321684	7.47158E-06
EPHA10	0.003432914	0.007134849	-0.007134849	3.30192E-06
EPHA3	-0.031201578	-0.025390198	0.025390198	2.73611E-33
EPHA4	-0.064316018	-0.055471578	0.055471578	7.91356E-54
EPHA5	-0.055629142	-0.048149019	0.048149019	5.84877E-48
EPHA6	-0.037728765	-0.027116192	0.027116192	6.97229E-41
EPHA7	0.047436004	0.054336128	-0.054336128	3.03404E-48
EPHB1	-0.082929422	-0.076980055	0.076980055	2.1246E-167
EPHB2	-0.02137849	-0.017249887	0.017249887	3.07719E-25
EPHB6	0.069555856	0.076239206	-0.076239206	4.0133E-116
EPHX4	-0.007191748	-0.00405925	0.00405925	1.97494E-06
EPM2A	-0.014098822	-0.010501396	0.010501396	4.76928E-18
EPM2AIP1	-0.02046644	-0.014968238	0.014968238	1.10124E-18
EPN1	0.02181171	0.025017094	-0.025017094	2.02585E-44
EPN2	0.001895029	0.007723168	-0.007723168	1.22685E-08
EPS15	-0.002517885	0.003025423	-0.003025423	1.55627E-16
EPS15L1	-0.020161647	-0.01485278	0.01485278	4.30838E-14
ERBB4	0.142718826	0.156748165	-0.156748165	6.3419E-129
ERBIN	0.031688875	0.037955878	-0.037955878	1.68556E-55
ERC1	-0.052520849	-0.043125452	0.043125452	9.15208E-38
ERC2	-0.13996962	-0.130923693	0.130923693	3.6141E-200
ERCC1	0.004466129	0.007509145	-0.007509145	7.84878E-08
ERCC3	-0.005038982	-0.002418273	0.002418273	1.98175E-05
ERCC4	-0.006483722	-0.003946119	0.003946119	3.51693E-09
ERCC6	-0.01204937	-0.008291388	0.008291388	1.72023E-11
ERCC6L2	-0.035393006	-0.02880773	0.02880773	2.33252E-28
ERCC8	-0.022584901	-0.018970213	0.018970213	2.00646E-38
ERGIC1	-0.024713168	-0.020781783	0.020781783	3.49927E-35
ERGIC2	0.005449635	0.008830868	-0.008830868	4.91336E-11
ERGIC3	0.016666456	0.019447454	-0.019447454	7.91933E-39
ERH	0.000639509	0.003559064	-0.003559064	0.556849801
ERI3	0.002239694	0.007333724	-0.007333724	3.04284E-05
ERICH1	-0.02381471	-0.020357781	0.020357781	1.49157E-43
ERICH3	-0.049422575	-0.044599119	0.044599119	3.57811E-94
ERLEC1	0.007661785	0.010707366	-0.010707366	3.38896E-07
ERLIN1	-0.000922498	0.001775242	-0.001775242	2.62017E-09
ERMP1	-0.002613125	0.0005483	-0.0005483	0.064663515
ERO1A	-0.003927193	0.000562731	-0.000562731	0.000258977
ERO1B	0.003951124	0.008057566	-0.008057566	0.037319915
ERP44	-0.029170692	-0.023967458	0.023967458	7.20054E-28
ESCO1	-0.016703448	-0.012856066	0.012856066	5.24477E-21
ESF1	-0.047089706	-0.041552183	0.041552183	4.61876E-62
ESRRA	0.021529814	0.024648276	-0.024648276	2.12615E-43
ESRRG	-0.014524868	-0.005783534	0.005783534	9.00668E-16
ESYT2	-0.030098121	-0.024001941	0.024001941	8.46214E-24
ETF1	0.002235328	0.004851124	-0.004851124	0.013470459
ETFA	-0.003563397	-0.000795554	0.000795554	5.89234E-05
ETFDH	-0.018225179	-0.014959091	0.014959091	4.05547E-34
ETNK1	-0.024955448	-0.018004547	0.018004547	1.49499E-24
ETS2	-0.010069217	-0.006487288	0.006487288	1.52912E-12
ETV5	-0.027660609	-0.024018132	0.024018132	3.78645E-61
ETV6	-0.042163287	-0.036259681	0.036259681	1.26474E-50
EVA1C	-0.02720928	-0.022994476	0.022994476	1.049E-39
EVI5	-0.07011501	-0.062686592	0.062686592	8.30679E-76
EVI5L	0.007123084	0.01027947	-0.01027947	1.94134E-14
EVL	0.008746879	0.016859259	-0.016859259	2.8188E-12
EWSR1	0.00929292	0.013479811	-0.013479811	1.17591E-11
EXD2	0.00173933	0.005217025	-0.005217025	5.53205E-05
EXD3	-0.021741147	-0.016838744	0.016838744	4.65851E-32
EXOC1	-0.050925755	-0.046106508	0.046106508	2.9464E-105
EXOC2	-0.015483671	-0.009714137	0.009714137	1.44692E-08
EXOC3	0.006448686	0.009730133	-0.009730133	5.53899E-18
EXOC4	-0.030014046	-0.020531894	0.020531894	1.5762E-14
EXOC5	-0.005055188	-2.37857E-05	2.37857E-05	3.43874E-08
EXOC6	-0.055297909	-0.04840962	0.04840962	3.78751E-55
EXOC6B	-0.061261965	-0.051786177	0.051786177	9.47167E-37
EXOC7	0.014374148	0.018124253	-0.018124253	1.71248E-19
EXOG	-0.009645454	-0.006627316	0.006627316	1.28618E-10
EXOSC10	-0.010292133	-0.007033193	0.007033193	1.57345E-18
EXOSC6	-0.002921883	0.000931284	-0.000931284	1.03037E-06
EXT1	-0.061145307	-0.051991436	0.051991436	1.67348E-42
EXT2	-0.008259357	-0.003370962	0.003370962	1.18602E-07
EXTL1	0.014097166	0.017369894	-0.017369894	9.71457E-21
EXTL2	-0.005673924	-0.002238991	0.002238991	2.06944E-05
EXTL3	0.008654441	0.012845814	-0.012845814	2.71222E-06
EYA3	-0.005134508	-0.000415881	0.000415881	0.000115408
EYA4	0.001337543	0.004834046	-0.004834046	0.251713399
EYS	-0.000696032	0.002262156	-0.002262156	0.610157651
EZH1	0.028919996	0.033524522	-0.033524522	7.49835E-48
FAAH	0.005301926	0.009855104	-0.009855104	4.07022E-12
FAAH2	-0.035743184	-0.031064141	0.031064141	1.93754E-51
FADS3	0.009845454	0.013299585	-0.013299585	1.01045E-09
FAF1	-0.110750425	-0.101590919	0.101590919	9.03E-123
FAF2	-0.011045263	-0.007577578	0.007577578	1.54456E-10
FAHD2A	-0.014200384	-0.010525708	0.010525708	2.06584E-20
FAIM2	0.242496296	0.251814224	-0.251814224	0
FAM102A	0.001528936	0.004127508	-0.004127508	0.001657746
FAM102B	-0.018490881	-0.014471491	0.014471491	8.53537E-25
FAM107A	0.049664501	0.052933002	-0.052933002	6.09E-197
FAM110B	0.007161837	0.012373315	-0.012373315	0.001614908
FAM117B	0.002067378	0.007345941	-0.007345941	0.000238322
FAM120A	-0.027027467	-0.021473044	0.021473044	1.73913E-23
FAM120B	-0.058552967	-0.052260128	0.052260128	6.93975E-74
FAM120C	-0.010197693	-0.007150494	0.007150494	2.04684E-13
FAM124A	0.005783145	0.008714153	-0.008714153	2.03176E-10
FAM126B	-0.048921565	-0.042335551	0.042335551	3.27994E-50
FAM131A	0.008344514	0.012443478	-0.012443478	3.14114E-06
FAM131B	0.025598557	0.028713971	-0.028713971	1.60254E-65
FAM133B	0.03517971	0.038463279	-0.038463279	1.27091E-97
FAM135A	-0.040201419	-0.03332807	0.03332807	9.378E-34
FAM135B	-0.032069378	-0.024518517	0.024518517	4.23108E-21
FAM13A	-0.046983775	-0.039624493	0.039624493	6.75672E-37
FAM13B	-0.010988738	-0.004296783	0.004296783	9.34671E-13
FAM13C	0.009733061	0.015080681	-0.015080681	8.90298E-11
FAM151B	-0.001942863	0.000748429	-0.000748429	0.33646804
FAM153A	-0.024108469	-0.02022467	0.02022467	9.15118E-34
FAM156A	-0.028469527	-0.025247349	0.025247349	2.65027E-71
FAM161A	-0.010530168	-0.007194537	0.007194537	4.11437E-13
FAM162A	-0.003512129	6.16935E-05	-6.16935E-05	0.000121178
FAM168A	-0.059838466	-0.051696931	0.051696931	3.72917E-47
FAM168B	0.001761234	0.006799245	-0.006799245	0.000141683
FAM169A	-0.014461584	-0.007998156	0.007998156	2.03591E-12
FAM171A1	-0.057542814	-0.050250692	0.050250692	7.84004E-55
FAM171A2	0.014185408	0.017537511	-0.017537511	7.87956E-19
FAM171B	0.033181426	0.040387292	-0.040387292	2.58044E-35
FAM172A	-0.109607607	-0.100434374	0.100434374	8.0304E-120
FAM174A	-0.011663131	-0.008758696	0.008758696	4.04239E-17
FAM174B	-0.011500413	-0.007760448	0.007760448	1.55736E-10
FAM177A1	0.00523046	0.008409894	-0.008409894	9.3846E-08
FAM184A	-0.028886059	-0.024188928	0.024188928	6.04476E-33
FAM185A	-0.107777252	-0.10212329	0.10212329	8.74139e-318
FAM189A1	-0.042341405	-0.034964476	0.034964476	1.76867E-29
FAM193A	-0.048470191	-0.042775856	0.042775856	9.36217E-63
FAM193B	0.00886489	0.014199465	-0.014199465	7.45361E-15
FAM199X	-0.003746133	0.000249706	-0.000249706	4.42831E-10
FAM200B	0.009801251	0.012860882	-0.012860882	4.10689E-15
FAM204A	-0.010255575	-0.006174412	0.006174412	4.05627E-12
FAM20B	0.006362836	0.009766276	-0.009766276	1.18765E-05
FAM20C	0.001061408	0.003650263	-0.003650263	0.005195501
FAM214A	0.00460816	0.010286861	-0.010286861	1.59496E-06
FAM216A	-0.005733664	-0.003230185	0.003230185	3.78989E-06
FAM217B	0.00155951	0.006039928	-0.006039928	0.004207211
FAM219A	-0.011894472	-0.007235907	0.007235907	2.31489E-09
FAM219B	0.010593028	0.013288137	-0.013288137	1.69543E-18
FAM222B	-0.010813301	-0.005069201	0.005069201	1.5406E-05
FAM228B	-0.013622982	-0.009169532	0.009169532	6.21617E-21
FAM234B	-0.007753146	-0.00472976	0.00472976	3.15075E-09
FAM3C	-0.007541016	-0.002806611	0.002806611	9.41192E-11
FAM50A	0.008404369	0.011777825	-0.011777825	4.37651E-21
FAM53C	0.021561832	0.025228042	-0.025228042	1.76536E-32
FAM78B	-0.064730866	-0.059776257	0.059776257	2.2976E-148
FAM81A	-0.075514451	-0.069372108	0.069372108	1.3996E-132
FAM8A1	0.010701051	0.01338319	-0.01338319	6.9226E-17
FAM91A1	0.001739166	0.004764389	-0.004764389	1.39446E-12
FAM98B	0.001419737	0.00487924	-0.00487924	4.09079E-09
FAN1	-0.002384294	0.000823225	-0.000823225	0.001872279
FANCC	0.003448954	0.00665317	-0.00665317	8.25411E-09
FANCL	-0.025355102	-0.020480735	0.020480735	3.08465E-32
FAR1	-0.050032942	-0.043737579	0.043737579	8.96899E-63
FAR2	-0.053556063	-0.047101496	0.047101496	3.34698E-59
FARP1	-0.024691281	-0.017273596	0.017273596	1.02276E-13
FARP2	-0.016847799	-0.01301854	0.01301854	5.23886E-24
FARS2	-0.042236486	-0.034052863	0.034052863	7.72226E-25
FARSB	0.001262843	0.005492096	-0.005492096	2.73667E-08
FASN	0.017120353	0.020554932	-0.020554932	6.43373E-22
FASTK	0.053616987	0.05810119	-0.05810119	1.5464E-134
FASTKD1	-0.009272461	-0.004833385	0.004833385	1.09961E-08
FASTKD2	0.01801433	0.020853948	-0.020853948	3.9342E-36
FAT3	-0.113001828	-0.103171309	0.103171309	1.8461E-112
FAT4	0.006737016	0.009768491	-0.009768491	7.86274E-05
FAU	0.052944549	0.056372912	-0.056372912	1.7515E-201
FAXC	-0.01142411	-0.006669401	0.006669401	3.51129E-06
FBH1	-0.001678069	0.001655952	-0.001655952	0.000261065
FBLL1	0.024266277	0.027530159	-0.027530159	3.01436E-49
FBLN7	-0.030575223	-0.027397123	0.027397123	1.74727E-82
FBN1	-0.025902574	-0.01915603	0.01915603	2.17869E-14
FBRSL1	0.006243384	0.009705072	-0.009705072	2.2479E-07
FBXL13	-0.001385295	0.001781171	-0.001781171	0.00120225
FBXL14	0.00963989	0.012453732	-0.012453732	3.8366E-13
FBXL15	0.018899279	0.022268143	-0.022268143	7.73344E-35
FBXL16	0.01147615	0.014648215	-0.014648215	1.05513E-11
FBXL17	-0.132571064	-0.12369132	0.12369132	3.6894E-186
FBXL18	-0.004821687	-0.001476666	0.001476666	2.7577E-11
FBXL19	0.012243905	0.016319881	-0.016319881	4.61419E-21
FBXL2	-0.019226973	-0.013531601	0.013531601	1.6439E-10
FBXL20	-0.028441616	-0.021244745	0.021244745	6.3359E-15
FBXL3	-0.007122858	-0.003491764	0.003491764	9.1648E-17
FBXL4	-0.03332773	-0.028902563	0.028902563	1.19349E-52
FBXL5	-0.06680729	-0.060787023	0.060787023	1.2893E-112
FBXL7	0.048403437	0.053521498	-0.053521498	5.39178E-75
FBXO11	-0.022362194	-0.014819488	0.014819488	1.14944E-10
FBXO16	-0.07541371	-0.070317442	0.070317442	7.1353E-191
FBXO2	0.002946965	0.006352116	-0.006352116	0.236960963
FBXO21	-0.003988796	0.000920975	-0.000920975	0.000264241
FBXO22	-0.016208533	-0.011855385	0.011855385	1.54386E-16
FBXO25	-0.01918295	-0.015474093	0.015474093	1.24139E-27
FBXO27	-0.021702947	-0.018126149	0.018126149	7.728E-35
FBXO28	-0.02348449	-0.019304675	0.019304675	6.95829E-31
FBXO3	-0.017100176	-0.012694192	0.012694192	2.05261E-20
FBXO30	0.004958143	0.007569587	-0.007569587	1.81631E-06
FBXO31	0.026797193	0.029425825	-0.029425825	4.3312E-102
FBXO32	-0.034739056	-0.028909196	0.028909196	7.65398E-33
FBXO33	-0.009908718	-0.005249308	0.005249308	1.60106E-10
FBXO34	-0.027478794	-0.020696231	0.020696231	1.16361E-16
FBXO36	-0.014064999	-0.010994675	0.010994675	7.36733E-19
FBXO38	-0.011820528	-0.008537325	0.008537325	1.52793E-13
FBXO41	0.014358836	0.017876003	-0.017876003	2.52092E-15
FBXO42	0.007680585	0.013442216	-0.013442216	1.54508E-08
FBXO44	0.096336799	0.102409299	-0.102409299	4.4189E-242
FBXO7	0.00650215	0.009276645	-0.009276645	3.80132E-12
FBXO9	-0.004511764	-0.000159981	0.000159981	1.2226E-13
FBXW11	-0.019316966	-0.01335887	0.01335887	7.70435E-15
FBXW2	-0.007077472	-0.003975919	0.003975919	4.57733E-07
FBXW4	-0.014706094	-0.009673864	0.009673864	4.52711E-10
FBXW5	0.030896019	0.034641713	-0.034641713	3.35327E-64
FBXW7	-0.197445103	-0.188172843	0.188172843	0
FBXW8	-0.010760509	-0.00729879	0.00729879	5.07912E-10
FCHO1	0.002329124	0.005377349	-0.005377349	1.25463E-05
FCHO2	-0.037026477	-0.031496938	0.031496938	6.32531E-45
FCHSD2	-0.01366102	-0.006968886	0.006968886	4.83762E-15
FDFT1	0.012319674	0.015533378	-0.015533378	3.90388E-13
FDPS	-0.010264736	-0.007103482	0.007103482	5.75335E-13
FDX1	-0.001652839	0.001050096	-0.001050096	0.009515176
FECH	0.008376618	0.011022798	-0.011022798	4.98769E-14
FEM1B	0.006657763	0.011497318	-0.011497318	2.4277E-10
FEM1C	0.005085555	0.007767429	-0.007767429	4.50071E-06
FER	-0.056229278	-0.046877889	0.046877889	9.24493E-38
FERMT2	0.007578613	0.010279047	-0.010279047	7.04241E-11
FEZ1	0.003348669	0.007793549	-0.007793549	3.76076E-07
FEZ2	-0.040138563	-0.034935744	0.034935744	1.03455E-54
FGD1	-0.00211363	0.000916878	-0.000916878	0.012037656
FGD4	0.020573129	0.024922011	-0.024922011	3.96097E-22
FGD6	-0.007379225	-0.004574281	0.004574281	1.15039E-15
FGF12	-0.063548474	-0.057490168	0.057490168	1.6693E-147
FGF13	-0.003065599	0.003897106	-0.003897106	9.51832E-06
FGF14	-0.071111972	-0.066034418	0.066034418	1.564E-230
FGF17	-0.004317872	0.001251357	-0.001251357	1.6611E-13
FGF9	-0.014696871	-0.011690216	0.011690216	1.48772E-22
FGFR1	0.007234752	0.010055112	-0.010055112	2.23427E-09
FGFR1OP2	-0.020052035	-0.014262182	0.014262182	2.67512E-23
FGFR2	0.011042692	0.014158051	-0.014158051	1.92026E-19
FGGY	-0.029968099	-0.026110313	0.026110313	4.51728E-54
FHIT	0.023380403	0.032881031	-0.032881031	4.16871E-34
FHL1	0.014456596	0.01861066	-0.01861066	2.49482E-11
FHL2	-0.02537014	-0.022171913	0.022171913	1.40201E-59
FHOD3	-0.041364121	-0.034473126	0.034473126	6.77321E-34
FIG4	-0.015308907	-0.011000755	0.011000755	6.58913E-13
FIGN	0.025881087	0.031429072	-0.031429072	1.19841E-24
FILIP1L	-0.001836935	0.0009675	-0.0009675	0.000309665
FIS1	0.005206075	0.007921991	-0.007921991	9.07645E-07
FKBP15	-0.008185749	-0.005170443	0.005170443	4.60802E-12
FKBP3	0.033002668	0.037070868	-0.037070868	2.68889E-57
FKBP4	0.017512506	0.020759463	-0.020759463	2.99287E-25
FKBP5	0.025815162	0.030709941	-0.030709941	3.42686E-36
FKBP8	0.090846196	0.0966728	-0.0966728	2.0448E-204
FKTN	-0.018037854	-0.014126932	0.014126932	8.08827E-21
FLNA	0.016897403	0.01958241	-0.01958241	1.83668E-33
FLNB	0.003814224	0.008025236	-0.008025236	1.1898E-05
FLOT1	0.011616161	0.01576839	-0.01576839	1.28635E-09
FLOT2	0.018228154	0.021789593	-0.021789593	2.3006E-27
FLRT2	0.016939846	0.027111135	-0.027111135	8.11378E-22
FLRT3	0.011346233	0.014341854	-0.014341854	9.66469E-14
FLVCR1	-0.007869787	-0.00460447	0.00460447	8.98304E-08
FLYWCH1	0.012854295	0.01677646	-0.01677646	2.37462E-18
FMN1	-0.092354423	-0.082500863	0.082500863	6.11681E-74
FMN2	-0.061798931	-0.052359064	0.052359064	1.03034E-36
FMNL2	0.002727128	0.012464	-0.012464	9.19934E-08
FMNL3	-0.005326386	-0.002002388	0.002002388	2.93921E-08
FMR1	0.004620269	0.008861546	-0.008861546	2.90211E-12
FNBP1	-0.004953711	0.001058919	-0.001058919	5.95036E-06
FNBP1L	-0.024684908	-0.01950767	0.01950767	3.28727E-20
FNBP4	-0.038237905	-0.033303717	0.033303717	9.84563E-58
FNDC10	0.007347281	0.010173751	-0.010173751	4.35939E-15
FNDC3A	-0.046348325	-0.03949193	0.03949193	1.57636E-40
FNDC3B	-0.014234973	-0.009635035	0.009635035	1.05755E-14
FNIP2	-0.000278542	0.006692918	-0.006692918	4.25556E-19
FOCAD	-0.162700201	-0.153202495	0.153202495	6.8479E-250
FOXG1	-0.003084752	0.0009194	-0.0009194	0.001217206
FOXJ3	-0.053795327	-0.047710859	0.047710859	8.01672E-67
FOXK1	-0.019014155	-0.014340661	0.014340661	1.43191E-18
FOXK2	-0.023866947	-0.018900017	0.018900017	1.38054E-20
FOXN2	0.003176462	0.006282836	-0.006282836	2.96956E-11
FOXN3	-0.026753635	-0.019280856	0.019280856	2.50649E-12
FOXO3	0.009176808	0.016471023	-0.016471023	5.92751E-05
FOXP1	-0.044220895	-0.034423874	0.034423874	5.62765E-33
FOXP2	-0.031357788	-0.024047322	0.024047322	3.16631E-16
FOXRED1	0.004708756	0.00757183	-0.00757183	0.000101045
FRA10AC1	-0.013859022	-0.009748032	0.009748032	8.16357E-20
FRAS1	-0.017396751	-0.010281675	0.010281675	1.32443E-20
FREM1	-0.008734649	-0.005144293	0.005144293	1.03615E-05
FRMD3	-0.010338427	-0.006095878	0.006095878	9.67756E-06
FRMD4A	-0.103002198	-0.097166804	0.097166804	4.6234E-279
FRMD4B	0.014241094	0.017842327	-0.017842327	2.33582E-14
FRMD5	-0.054945622	-0.044922044	0.044922044	1.65705E-28
FRMD6	-0.022247097	-0.019048003	0.019048003	1.89171E-46
FRMPD4	-0.043517537	-0.03544014	0.03544014	2.5277E-78
FRRS1L	-0.027036283	-0.019718573	0.019718573	1.71517E-16
FRS2	-0.023270398	-0.018136871	0.018136871	3.98345E-20
FRY	-0.046329261	-0.037001234	0.037001234	1.39804E-33
FRYL	0.006067755	0.013328453	-0.013328453	7.94347E-19
FSCN1	0.0008231	0.004468778	-0.004468778	0.54310523
FSD1	0.032780172	0.037276323	-0.037276323	4.47126E-48
FSD1L	-0.080879356	-0.074754934	0.074754934	5.8945E-150
FSIP1	-0.02482701	-0.021523587	0.021523587	4.5098E-51
FSTL3	0.009616998	0.01258841	-0.01258841	6.58279E-16
FSTL4	-0.21147493	-0.202005623	0.202005623	0
FSTL5	0.005389698	0.014541942	-0.014541942	0.000457587
FTCD	-0.017277262	-0.013821578	0.013821578	4.49953E-30
FTCDNL1	-0.02341979	-0.019177527	0.019177527	3.27407E-35
FTH1	0.115520154	0.122666842	-0.122666842	6.311E-224
FTL	0.184779945	0.191338336	-0.191338336	0
FTO	-0.085448421	-0.076288454	0.076288454	1.42194E-73
FUBP1	0.010640269	0.015349985	-0.015349985	6.99319E-14
FUBP3	-0.03360881	-0.02892792	0.02892792	1.27411E-46
FUS	0.029328781	0.03497732	-0.03497732	5.1431E-30
FUT10	-0.00198816	0.000738679	-0.000738679	0.000155317
FUT8	-0.044288717	-0.036485311	0.036485311	3.62506E-31
FUT9	-0.008427931	0.000946836	-0.000946836	1.48591E-18
FXR1	0.029660538	0.036039214	-0.036039214	2.80241E-37
FXR2	0.017402225	0.020755266	-0.020755266	4.02855E-27
FXYD7	0.013511828	0.019519285	-0.019519285	3.53484E-36
FYN	-0.037015657	-0.029412387	0.029412387	1.3178E-25
FYTTD1	-0.006326498	-0.003173242	0.003173242	1.35298E-08
FZD3	-0.053345167	-0.045409775	0.045409775	6.96017E-49
FZR1	0.032188447	0.036080013	-0.036080013	1.31741E-66
G2E3	-0.009215937	-0.005036293	0.005036293	3.15852E-12
G3BP1	0.006500296	0.010725594	-0.010725594	1.44157E-08
G3BP2	0.01374901	0.01926744	-0.01926744	1.42198E-12
GAA	0.003673296	0.006968914	-0.006968914	4.66927E-08
GAB1	0.023367997	0.030951873	-0.030951873	7.35921E-38
GAB2	-0.00483294	0.000857592	-0.000857592	0.019478486
GABARAPL1	0.006640485	0.010513693	-0.010513693	0.000220323
GABARAPL2	0.008287617	0.011278006	-0.011278006	6.17952E-11
GABBR1	0.017490233	0.022769117	-0.022769117	7.04836E-14
GABBR2	-0.185450932	-0.176288287	0.176288287	0
GABPA	0.004447595	0.007417894	-0.007417894	5.35166E-07
GABPB1	-0.023138222	-0.019809385	0.019809385	1.13197E-43
GABPB2	-0.022001927	-0.018101351	0.018101351	2.28043E-32
GABRA1	-0.016455793	-0.008981915	0.008981915	2.6166E-08
GABRA2	-0.023212096	-0.016134163	0.016134163	3.67507E-17
GABRA3	-0.012225882	-0.00793843	0.00793843	1.2652E-16
GABRA4	-0.032356708	-0.025253179	0.025253179	3.70078E-26
GABRA5	0.014086143	0.017584443	-0.017584443	3.25479E-25
GABRB1	0.010977185	0.020388481	-0.020388481	6.38818E-54
GABRB2	-0.028955071	-0.020159613	0.020159613	3.99398E-81
GABRB3	-0.083288875	-0.07377455	0.07377455	2.35244E-66
